min,max,mean,var,std
215.01135,4271.4595,1410.6937,628305.56,792.6573
14.663265,65.3564,36.13296,105.10277,10.251964
19.974121,159.19409,92.70466,856.20953,29.261059
209.48073,3786.7705,1328.5282,573291.44,757.1601
14.473449,61.536743,35.002647,103.34286,10.165769
19.981445,159.18213,92.6972,855.56476,29.250038
183.48021,3688.8926,1272.4983,542007.1,736.21136
13.545486,60.736256,34.2045,102.55064,10.126729
19.98999,159.17822,92.71695,855.3803,29.246885
210.26782,4003.247,1386.9773,601484.8,775.5545
14.500614,63.271217,35.809616,104.64882,10.2298
20.080078,159.18042,92.77396,855.18884,29.243612
239.47713,4375.939,1534.4729,682127.1,825.9099
15.475048,66.15088,37.775036,107.519615,10.369166
20.268555,159.17236,92.859604,855.20844,29.243946
268.9262,4689.947,1666.5103,755575.75,869.2386
16.39897,68.483185,39.453167,109.95778,10.486075
19.985107,159.18677,92.705894,856.227,29.261356
213.74913,3762.485,1344.1836,578450.4,760.55927
14.620162,61.3391,35.225456,103.350716,10.166155
20.006836,159.17798,92.7071,855.64264,29.25137
208.82741,3724.1501,1340.8042,574610.56,758.0307
14.450862,61.025814,35.17069,103.8268,10.189544
20.020752,159.17065,92.79054,855.17377,29.243355
267.57773,4160.2065,1561.3843,692414.6,832.11456
16.357803,64.499664,38.1183,108.37924,10.410535
20.13086,159.16821,93.020226,854.6926,29.235126
341.69934,4786.6787,1832.1956,843693.0,918.52765
18.485111,69.18583,41.45764,113.459435,10.651734
20.356445,159.16992,93.335625,854.24664,29.227499
417.7259,5389.9966,2077.835,986038.9,992.99493
20.438343,73.416595,44.273483,117.693504,10.848663
19.968506,159.1919,92.704384,856.22955,29.2614
205.97453,3692.7075,1326.8147,571721.9,756.1229
14.351812,60.76765,34.980568,103.17464,10.157492
19.977295,159.18604,92.69704,855.6141,29.250881
175.13617,3487.2905,1268.937,538553.75,733.86224
13.233902,59.053284,34.15789,102.17548,10.108189
19.99707,159.17944,92.71584,855.4349,29.247818
